actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
154,PT00M31.80S,1,1610612738,BOS,1628401,White,D. White,-151,230,28,Missed,1,,,0,h,MISS White 28' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,1,3,112
155,PT00M29.40S,1,1610612738,BOS,1628401,White,D. White,0,0,0,,0,,,0,h,White REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,113
156,PT00M27.30S,1,1610612738,BOS,1628401,White,D. White,0,0,0,,0,,,0,h,White Out of Bounds - Bad Pass Turnover Turnover (P1.T4),Turnover,Out of Bounds - Bad Pass Turnover,1,0,114
157,PT00M27.30S,1,1610612738,BOS,202696,Vučević,N. Vučević,0,0,0,,0,,,0,h,SUB: Brown FOR Vucevic,Substitution,,0,0,115
158,PT00M27.30S,1,1610612755,PHI,1631230,Barlow,D. Barlow,0,0,0,,0,,,0,v,SUB: George FOR Barlow,Substitution,,0,0,116
161,PT00M06.90S,1,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,165,188,25,Missed,1,,,0,v,MISS Oubre Jr. 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,117
162,PT00M05.30S,1,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,,,0,h,Tatum REBOUND (Off:0 Def:7),Rebound,Unknown,1,0,118
163,PT00M01.10S,1,1610612738,BOS,1641775,Walsh,J. Walsh,27,23,4,Made,1,33,18,51,h,Walsh 4' Reverse Layup (2 PTS) (Tatum 4 AST),Made Shot,Reverse Layup Shot,1,2,119
165,PT00M01.00S,1,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,,,0,v,Oubre Jr. Bad Pass Turnover (P1.T6),Turnover,Bad Pass,1,0,120
165,PT00M01.00S,1,1610612738,BOS,1628401,White,D. White,0,0,0,,0,,,0,h,White STEAL (1 STL),,,1,0,121
167,PT00M00.00S,1,1610612738,BOS,1628401,White,D. White,-158,236,28,Missed,1,,,0,h,MISS White 28' 3PT Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,1,3,122
168,PT00M00.00S,1,0,,1610612738,,,0,0,0,,0,,,0,h,CELTICS Rebound,Rebound,Unknown,1,0,123
169,PT00M00.00S,1,0,,0,,,0,0,0,,0,33,18,51,,End of 1st Period (1:41 PM EST),period,end,1,0,124
180,PT12M00.00S,2,0,,0,,,0,0,0,,0,33,18,51,,Start of 2nd Period (1:45 PM EST),period,start,0,0,125
181,PT11M39.00S,2,1610612738,BOS,1630202,Pritchard,P. Pritchard,-2,293,29,Missed,1,,,0,h,MISS Pritchard 29' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,0,3,126
182,PT11M37.00S,2,1610612738,BOS,1630568,Garza,L. Garza,0,0,0,,0,,,0,h,Garza REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,127
184,PT11M36.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,,0,,,0,v,Edgecombe S.FOUL (P1.T1) (P.Fraher),Foul,Shooting,0,0,128
