actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,score_after,score_before,diff,leader,lead_change,home_pts,away_pts,run_team,current_run
223,PT08M43.00S,2,1610612755,PHI,1629656,Grimes,Q. Grimes,0,0,0,,0,42.0,27.0,0,v,SUB: Maxey FOR Grimes,Substitution,,0,0,159,27-42,27-42,15.0,1,False,0.0,0.0,,0.0
227,PT08M43.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,0,0,0,,0,42.0,27.0,0,v,MISS Edwards Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,1,0,160,27-42,27-42,15.0,1,False,0.0,0.0,,0.0
228,PT08M43.00S,2,1610612738,BOS,1630573,Hauser,S. Hauser,0,0,0,,0,42.0,27.0,0,h,Hauser REBOUND (Off:0 Def:3),Rebound,Unknown,1,0,161,27-42,27-42,15.0,1,False,0.0,0.0,,0.0
229,PT08M25.00S,2,1610612738,BOS,1629674,Queta,N. Queta,-9,81,8,Made,1,44.0,27.0,71,h,Queta 8' Floating Jump Shot (5 PTS) (Pritchard 2 AST),Made Shot,Floating Jump shot,1,2,162,27-44,27-42,17.0,1,False,2.0,0.0,HOME,2.0
231,PT08M12.00S,2,1610612755,PHI,203083,Drummond,A. Drummond,-28,0,3,Made,1,44.0,29.0,73,v,Drummond 3' Reverse Layup (2 PTS) (George 1 AST),Made Shot,Reverse Layup Shot,1,2,163,29-44,27-44,15.0,1,False,0.0,2.0,AWAY,2.0
233,PT08M03.00S,2,1610612738,BOS,1627759,Brown,J. Brown,53,49,7,Made,1,46.0,29.0,75,h,Brown 7' Driving Floating Jump Shot (8 PTS),Made Shot,Driving Floating Jump Shot,1,2,164,29-46,29-44,17.0,1,False,2.0,0.0,HOME,2.0
234,PT07M39.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,54,89,10,Missed,1,46.0,29.0,0,v,MISS Edgecombe 10' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,1,2,165,29-46,29-46,17.0,1,False,0.0,0.0,,0.0
235,PT07M38.00S,2,1610612738,BOS,1629674,Queta,N. Queta,0,0,0,,0,46.0,29.0,0,h,Queta REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,166,29-46,29-46,17.0,1,False,0.0,0.0,,0.0
236,PT07M21.00S,2,1610612738,BOS,1629674,Queta,N. Queta,62,7,6,Made,1,48.0,29.0,77,h,Queta 6' Floating Jump Shot (7 PTS) (Pritchard 3 AST),Made Shot,Floating Jump shot,1,2,167,29-48,29-46,19.0,1,False,2.0,0.0,HOME,2.0
238,PT07M21.00S,2,1610612755,PHI,203083,Drummond,A. Drummond,0,0,0,,0,48.0,29.0,0,v,Drummond Violation:Defensive Goaltending (T.Maddox),Violation,Defensive Goaltending,0,0,168,29-48,29-48,19.0,1,False,0.0,0.0,,0.0
239,PT07M16.00S,2,1610612755,PHI,203083,Drummond,A. Drummond,0,0,0,,0,48.0,29.0,0,v,Drummond T.FOUL (P2.T1) (S.Foster),Foul,Technical,1,0,169,29-48,29-48,19.0,1,False,0.0,0.0,,0.0
240,PT07M16.00S,2,1610612738,BOS,1630202,Pritchard,P. Pritchard,0,0,0,,0,49.0,29.0,78,h,Pritchard Free Throw Technical (6 PTS),Free Throw,Free Throw Technical,1,0,170,29-49,29-48,20.0,1,False,1.0,0.0,HOME,1.0
241,PT07M16.00S,2,1610612738,BOS,1630573,Hauser,S. Hauser,0,0,0,,0,49.0,29.0,0,h,SUB: Tatum FOR Hauser,Substitution,,0,0,171,29-49,29-49,20.0,1,False,0.0,0.0,,0.0
242,PT07M16.00S,2,1610612755,PHI,203083,Drummond,A. Drummond,0,0,0,,0,49.0,29.0,0,v,SUB: Bona FOR Drummond,Substitution,,0,0,172,29-49,29-49,20.0,1,False,0.0,0.0,,0.0
245,PT07M03.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,54,51,7,Made,1,49.0,31.0,80,v,Edgecombe 7' Driving Floating Jump Shot (2 PTS) (Maxey 2 AST),Made Shot,Driving Floating Jump Shot,1,2,173,31-49,29-49,18.0,1,False,0.0,2.0,AWAY,2.0
247,PT06M50.00S,2,1610612755,PHI,1630178,Maxey,T. Maxey,0,0,0,,0,49.0,31.0,0,v,Maxey P.FOUL (P1.T2) (P.Fraher),Foul,Personal,1,0,174,31-49,31-49,18.0,1,False,0.0,0.0,,0.0
249,PT06M50.00S,2,0,,1610612738,,,0,0,0,,0,49.0,31.0,0,h,CELTICS Timeout: Regular (Full 2 Short 0),Timeout,Regular,0,0,175,31-49,31-49,18.0,1,False,0.0,0.0,,0.0
